Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
0.539643	86.198547	0.658659	2.003126	51.170299	0.654339	1.366264	67.510000	0.648694	1.812959	37.640000	0.306201	
0.555608	85.714286	0.651778	1.787890	52.663438	0.651530	1.295753	67.330000	0.649277	1.852235	35.320000	0.290173	
0.528612	86.561743	0.634967	2.138964	49.071832	0.648022	1.375987	66.540000	0.634611	1.705625	41.120000	0.357717	
0.520769	86.803874	0.647651	2.199430	49.313963	0.651142	1.380624	66.880000	0.637132	1.652338	42.640000	0.404494	
0.537001	86.279257	0.667614	2.017760	52.179177	0.657195	1.347147	67.350000	0.647885	1.790462	39.510000	0.314467	
0.548279	85.835351	0.658431	1.727172	54.802260	0.665321	1.270021	68.350000	0.660120	1.714296	40.810000	0.381932	
0.535935	85.794996	0.675290	1.913020	52.744148	0.659477	1.316182	67.450000	0.648455	1.880998	36.400000	0.267263	
0.533157	85.794996	0.669804	1.662223	54.761905	0.670663	1.228721	68.240000	0.660760	1.838087	37.970000	0.338800	
0.519905	86.077482	0.678570	1.910367	51.694915	0.646654	1.307170	67.580000	0.648387	1.961923	34.550000	0.255046	
0.533331	85.916061	0.663171	1.812089	53.147700	0.646142	1.307688	67.260000	0.646769	1.800569	38.770000	0.342521	
0.511085	87.086360	0.677732	2.072193	50.000000	0.646444	1.356320	67.040000	0.639373	1.923281	36.090000	0.246322	
0.518460	87.005650	0.670686	1.885501	51.937046	0.660570	1.293662	67.730000	0.649253	1.790164	38.950000	0.350555	
0.497377	87.691687	0.676846	1.917314	52.017756	0.666089	1.304043	67.380000	0.644520	1.845944	36.390000	0.269175	
0.499237	86.521388	0.646652	1.735927	54.560129	0.661800	1.244081	67.970000	0.654883	1.823130	36.550000	0.320903	
0.492679	87.005650	0.664074	1.918827	52.582728	0.659871	1.318479	67.510000	0.647526	1.950654	34.660000	0.251753	
0.534729	85.875706	0.662013	1.704288	56.456820	0.671683	1.259963	68.040000	0.657890	2.025205	32.090000	0.246674	
0.504167	87.247780	0.684627	1.864655	54.600484	0.683027	1.284777	68.410000	0.660369	1.755552	38.960000	0.311377	
0.517043	86.117837	0.687541	1.705788	56.093624	0.675630	1.239920	69.340000	0.672728	1.793633	36.410000	0.312302	
0.487981	87.328491	0.682102	1.959375	52.824859	0.672026	1.307870	68.570000	0.658116	1.601280	43.230000	0.379293	
0.514969	86.763519	0.689167	1.770864	55.730428	0.672472	1.257099	68.960000	0.666074	1.614833	43.190000	0.415180	
0.512458	87.167070	0.692565	1.872346	53.470541	0.676468	1.268852	68.770000	0.663253	1.704922	40.040000	0.334998	
0.524073	86.723164	0.669696	1.691808	55.569007	0.668430	1.218068	68.820000	0.666234	1.707655	41.010000	0.380102	
0.507769	86.924939	0.674267	1.910986	52.300242	0.662428	1.269445	68.570000	0.660485	1.826278	37.320000	0.279847	
0.528820	86.803874	0.684123	1.749439	55.851493	0.672155	1.248568	68.570000	0.662658	1.856015	36.990000	0.316043	
0.510009	87.167070	0.663956	1.931939	53.793382	0.671245	1.301715	68.770000	0.663468	1.739887	39.410000	0.321461	
0.503601	87.086360	0.675480	1.917802	54.277643	0.667968	1.281957	69.200000	0.668477	1.611791	44.550000	0.418335	
0.491122	87.732042	0.681666	2.259707	50.363196	0.663971	1.385797	67.950000	0.647435	1.535217	46.110000	0.421107	
0.501673	86.924939	0.666654	2.240106	51.251009	0.670651	1.366767	68.630000	0.655853	1.585155	43.250000	0.392870	
0.490021	87.691687	0.692339	2.347075	51.735270	0.678131	1.374804	68.990000	0.660452	1.504299	48.060000	0.430670	
0.481795	87.651332	0.709832	2.069816	55.246166	0.680243	1.296409	70.070000	0.679607	1.457243	49.720000	0.460773	
0.485169	88.014528	0.695477	2.154023	54.156578	0.678429	1.322813	69.560000	0.672033	1.514252	49.370000	0.451939	
0.486161	87.570621	0.697001	1.808488	57.465698	0.687063	1.241182	69.930000	0.677015	1.457309	48.820000	0.467350	
0.486276	87.247780	0.674968	1.984384	54.317998	0.672839	1.298599	69.350000	0.670391	1.574845	44.070000	0.384117	
0.502027	86.602098	0.675960	1.809628	55.528652	0.661587	1.255024	68.920000	0.665069	1.614381	42.950000	0.390783	
0.492821	87.449556	0.691085	1.933907	54.075868	0.663237	1.282647	69.250000	0.668763	1.660943	41.820000	0.335434	
0.490208	86.965295	0.674672	1.753819	55.004036	0.673850	1.237072	69.030000	0.664387	1.693441	38.860000	0.332680	
0.486833	87.126715	0.675746	1.967500	51.654560	0.661456	1.302819	68.600000	0.655727	1.560822	45.080000	0.403892	
0.501972	86.965295	0.656582	1.916634	53.470541	0.666346	1.296705	68.750000	0.658678	1.656420	39.870000	0.342298	
0.494760	87.409201	0.673207	1.995698	53.228410	0.682899	1.285036	69.790000	0.671733	1.624949	43.650000	0.367241	
0.504018	87.247780	0.697618	1.728649	56.658596	0.681278	1.210149	69.670000	0.674642	1.693021	40.190000	0.351851	
0.490449	87.853107	0.687805	1.898049	55.326876	0.686847	1.242900	69.880000	0.674198	1.667404	42.880000	0.364688	
0.509690	87.530266	0.689497	1.848341	56.658596	0.684572	1.249835	70.030000	0.679390	1.714530	40.080000	0.352800	
0.495026	87.691687	0.685732	1.907622	55.205811	0.679833	1.289942	69.300000	0.668156	1.751088	41.170000	0.337870	
0.499098	87.368846	0.713613	1.793116	57.142857	0.675018	1.240345	69.530000	0.671067	1.642680	44.880000	0.397964	
0.481725	88.095238	0.682369	2.073606	53.107345	0.674281	1.292863	69.500000	0.667736	1.624325	44.500000	0.384328	
0.479850	87.368846	0.688574	1.734839	56.820016	0.686449	1.188654	69.830000	0.673866	1.594695	46.100000	0.430514	
